"%s was successfully added to your shopping cart.","%s is  toegevoegd aan uw winkelwagen."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Enter your coupon code if you have one.","Voer een kortingscode in als u er een heeft."
"Enter a New Address","Voer een nieuw adres in"
"Checkout as a Guest or Register","Voor het eerst in deze webshop?"
"Register and save time!","Voordelen van een account"
"Your Checkout Progress","Voortgang  bestelling"
"Condition was successfully saved","Voorwaarde is opgeslagen"
"Condition was successfully deleted","Voorwaarde is verwijderd"
"Save Condition","Voorwaarde opslaan"
"Delete Condition","Voorwaarde verwijderen"
"Password","Wachtwoord"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We zijn bezig met het verwerken van uw bestelling. U ontvangt binnenkort een e-mail  met de details van uw bestelling. Wanneer de bestelling verzonden is, ontvangt u nog een e-mail met een link om het pakket te volgen."
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel wilt verwijderen uit uw winkelwagen?"
"Edit","Wijzigen"
"Change","Wijzigen"
"Change Billing Address","Wijzigen"
"Shopping Cart","Winkelwagen"
"Update Shopping Cart","Winkelwagen bijwerken"
"After adding a product redirect to shopping cart","Winkelwagen tonen na toevoegen van een product"
"Store View","Winkelzicht"
"Your order number is ","Your order number is "
"Add to Wishlist","Zet op verlanglijst"
"Shopping Cart Sidebar","Zijbalk winkelwagen"
"Display Shopping Cart Sidebar","Zijbalk winkelwagen tonen"
